Mutual fund,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Stichting Pensioenfonds ABP (Glob...,3.09%,18861367,589040491,-96672,-0.51%,INVH
Vanguard Mid Cap Index Fund,2.34%,14281030,445996567,2610,+0.02%,INVH
Vanguard 500 Index Fund,2.22%,13560792,423503534,60552,+0.45%,INVH
Cohen & Steers Real Estate Securi...,1.81%,11063463,345511949,0,0.00%,INVH
Daiwa Asset Daiwa US-REIT Open Mo...,1.55%,9458661,295393983,911762,+10.67%,INVH
Cohen & Steers Institutional Real...,1.50%,9163729,286183257,-2950383,-24.35%,INVH
"Cohen & Steers Realty Shares, Inc...",1.36%,8285428,258753916,0,0.00%,INVH
Washington Mutual Investors Fund,3.21%,29870127,373973990,17536783,+142.19%,KEY
Vanguard Total Stock Market Index...,3.09%,28808374,360680842,112326,+0.39%,KEY
Vanguard 500 Index Fund,2.34%,21787551,272780139,101672,+0.47%,KEY
Vanguard Mid Cap Index Fund,2.34%,21765017,272498013,12876,+0.06%,KEY
American Mutual Fund,2.27%,21151993,264822952,6119074,+40.70%,KEY
iShares Tr. - Select Dividend ETF,1.89%,17620850,220613042,-9546,-0.05%,KEY
Federated Hermes Strategic Value ...,1.53%,14266610,178617957,2221650,+18.44%,KEY
American Balanced Fund,1.52%,14155873,177231530,0,0.00%,KEY
Schwab US Dividend Equity ETF,1.45%,13541536,169540031,7441,+0.05%,KEY
Fidelity 500 Index Fund,1.10%,10227739,128051292,18573,+0.18%,KEY
Vanguard Total Stock Market Index...,2.32%,7941472,531760965,78291,+1.00%,K
Vanguard Mid Cap Index Fund,1.75%,5988192,400969336,18516,+0.31%,K
Vanguard 500 Index Fund,1.75%,5976529,400188382,26400,+0.44%,K
Vanguard Equity Income Fund,1.58%,5403103,361791777,277246,+5.41%,K
iShares Tr. - Edge MSCI Min. Vol....,1.20%,4099236,274484843,-2074,-0.05%,K
Schwab US Dividend Equity ETF,1.09%,3715223,248771332,2037,+0.05%,K
Vanguard Wellesley Income Fund,1.01%,3444690,230656442,337360,+10.86%,K
Fidelity 500 Index Fund,0.82%,2805986,187888823,5100,+0.18%,K
SPDR S&P 500 ETF Trust,0.81%,2774864,185804893,7956,+0.29%,K
VanEck Morningstar Wide Moat ETF,0.77%,2643164,176986261,25480,+0.97%,K
Vanguard Total Stock Market Index...,2.78%,19962514,985549316,147736,+0.75%,KR
Vanguard Mid Cap Index Fund,2.10%,15047769,742908356,10998,+0.07%,KR
Vanguard 500 Index Fund,1.98%,14207754,701436815,73740,+0.52%,KR
American Funds Capital World Grow...,1.42%,10189000,503030930,0,0.00%,KR
Fidelity 500 Index Fund,1.00%,7140828,352542678,12978,+0.18%,KR
SPDR S&P 500 ETF Trust,0.98%,7062815,348691177,20176,+0.29%,KR
iShares Tr. - Edge MSCI Min. Vol....,0.81%,5814193,287046708,-2942,-0.05%,KR
iShares Core S&P 500 ETF,0.81%,5781453,285430335,778,+0.01%,KR
Vanguard Mid Cap Value Index Fund,0.80%,5754691,284109095,61874,+1.09%,KR
SPDR Series - Consumer Staples Se...,0.71%,5059621,249793489,47601,+0.95%,KR
Dodge & Cox Stock Fund,8.18%,26484065,911581517,0,0.00%,JNPR
Vanguard Total Stock Market Index...,3.10%,10025037,345061774,34391,+0.34%,JNPR
Vanguard 500 Index Fund,2.33%,7557895,260142746,23140,+0.31%,JNPR
First Trust NASDAQ Cybersecurity ...,1.40%,4538635,156219817,0,0.00%,JNPR
Vanguard Small Cap Index Fund,1.31%,4236738,145828522,8248,+0.20%,JNPR
Vanguard Mid Cap Index Fund,1.17%,3783453,130226452,-41,-0.00%,JNPR
Fidelity 500 Index Fund,1.10%,3557967,122465224,6475,+0.18%,JNPR
SPDR S&P 500 ETF Trust,1.07%,3477953,119711142,10036,+0.29%,JNPR
Stichting Pensioenfonds ABP (Glob...,0.92%,2993469,103035203,550915,+22.55%,JNPR
Vanguard Small Cap Value Index Fu...,0.92%,2973978,102364323,-10981,-0.37%,JNPR
Vanguard Total Stock Market Index...,3.10%,10450969,1402729059,84754,+0.82%,KMB
Vanguard 500 Index Fund,2.34%,7879630,1057603939,38080,+0.49%,KMB
Schwab US Dividend Equity ETF,1.45%,4898917,657532640,2688,+0.05%,KMB
MFS Value Fund,1.10%,3723719,499797564,0,0.00%,KMB
Fidelity 500 Index Fund,1.10%,3699775,496583801,6721,+0.18%,KMB
SPDR S&P 500 ETF Trust,1.09%,3664562,491857512,10452,+0.29%,KMB
Government Pension Fund - Global ...,0.94%,3172081,425756712,-64037,-1.98%,KMB
Vanguard Value Index Fund,0.89%,3018827,405186960,11173,+0.37%,KMB
iShares Core S&P 500 ETF,0.89%,2995507,402056950,404,+0.01%,KMB
SPDR Series - Consumer Staples Se...,0.78%,2621538,351862830,24639,+0.95%,KMB
Vanguard Total Stock Market Index...,3.10%,2260720,340735718,20162,+0.90%,JKHY
Vanguard 500 Index Fund,2.34%,1704035,256832155,10400,+0.61%,JKHY
Stichting Pensioenfonds ABP (Glob...,2.15%,1573107,237098687,351004,+28.72%,JKHY
JPMorgan Equity Premium Income ET...,1.79%,1303307,196434431,675,+0.05%,JKHY
iShares Tr. - Edge MSCI Min. Vol....,1.64%,1193503,179884772,-604,-0.05%,JKHY
Parnassus Mid Cap Fund,1.41%,1026681,154741360,59500,+6.15%,JKHY
Vanguard Small Cap Index Fund,1.31%,954975,143933832,4220,+0.44%,JKHY
Vanguard Mid Cap Index Fund,1.17%,852435,128479003,2006,+0.24%,JKHY
Fidelity 500 Index Fund,1.10%,799708,120531990,1454,+0.18%,JKHY
SPDR S&P 500 ETF Trust,1.08%,789895,119052974,2236,+0.28%,JKHY
Vanguard Total Stock Market Index...,3.10%,4285473,1710632257,-74530,-1.71%,KLAC
Vanguard PRIMECAP Fund,2.89%,4003140,1597933394,-126580,-3.07%,KLAC
Vanguard 500 Index Fund,2.34%,3233069,1290544153,-58957,-1.79%,KLAC
Invesco QQQ Trust,1.33%,1839949,734452442,5950,+0.32%,KLAC
American Balanced Fund,1.25%,1729721,690452732,-197026,-10.23%,KLAC
Fidelity 500 Index Fund,1.12%,1553592,620147319,2824,+0.18%,KLAC
Government Pension Fund - Global ...,1.11%,1530610,610973594,140314,+10.09%,KLAC
SPDR S&P 500 ETF Trust,1.09%,1503600,600192012,4316,+0.29%,KLAC
Columbia Dividend Income Fund,1.05%,1459067,582415774,-14061,-0.95%,KLAC
Washington Mutual Investors Fund,1.05%,1451409,579358931,0,0.00%,KLAC
Vanguard Total Stock Market Index...,2.01%,24675330,954195011,180663,+0.74%,KHC
Vanguard 500 Index Fund,1.52%,18589158,718842740,91901,+0.50%,KHC
Washington Mutual Investors Fund,1.47%,17999235,696030417,0,0.00%,KHC
Invesco QQQ Trust,1.33%,16275953,629391103,52500,+0.32%,KHC
American Funds Income Fund of Ame...,1.06%,12974240,501713861,-4641367,-26.35%,KHC
BlackRock Equity Dividend Fund,0.92%,11220410,433893255,2120650,+23.30%,KHC
Fidelity 500 Index Fund,0.71%,8728437,337528659,15866,+0.18%,KHC
SPDR S&P 500 ETF Trust,0.70%,8603233,332687020,24648,+0.29%,KHC
T Rowe Price Value Fund,0.61%,7418376,286868600,-257564,-3.36%,KHC
Vanguard Value Index Fund,0.58%,7122908,275442852,44907,+0.63%,KHC
Vanguard Total Stock Market Index...,3.09%,5506341,889163945,14075,+0.26%,KEYS
Vanguard 500 Index Fund,2.34%,4163157,672266592,9540,+0.23%,KEYS
Vanguard Mid Cap Index Fund,2.33%,4152953,670618850,-12902,-0.31%,KEYS
T Rowe Price Mid Cap Growth Fund,1.45%,2581800,416909064,-3400,-0.13%,KEYS
Fidelity 500 Index Fund,1.10%,1960061,316510650,3561,+0.18%,KEYS
SPDR S&P 500 ETF Trust,1.09%,1944214,313951677,5512,+0.28%,KEYS
Stichting Pensioenfonds ABP (Glob...,0.99%,1767668,285443029,497896,+39.21%,KEYS
iShares Tr. - Edge MSCI Min. Vol....,0.97%,1719069,277595262,-870,-0.05%,KEYS
Vanguard Mid Cap Value Index Fund,0.89%,1588214,256464797,10860,+0.69%,KEYS
iShares Core S&P 500 ETF,0.89%,1582856,255599587,214,+0.01%,KEYS
Vanguard Total Stock Market Index...,2.48%,2570812,451074674,23386,+0.92%,JBHT
T Rowe Price Mid Cap Growth Fund,2.41%,2496300,438000798,-3300,-0.13%,JBHT
Janus Henderson Enterprise Fund,2.21%,2289488,401713564,-333381,-12.71%,JBHT
Vanguard 500 Index Fund,1.87%,1937679,339985157,14380,+0.75%,JBHT
Vanguard Mid Cap Index Fund,1.86%,1934690,339460707,3524,+0.18%,JBHT
T Rowe Price New Horizons Fund,1.27%,1323516,232224117,-941,-0.07%,JBHT
Eaton Vance Atlanta Capital SMID ...,1.17%,1212630,212768060,0,0.00%,JBHT
Franklin Rising Dividends Fund,1.13%,1173960,205983022,0,0.00%,JBHT
American Century Ultra Fund,0.92%,952765,167172147,0,0.00%,JBHT
Victory Sycamore Established Valu...,0.89%,920000,161423200,75000,+8.88%,JBHT
Vanguard Total Stock Market Index...,3.10%,91127627,11874841074,875765,+0.97%,JPM
Vanguard 500 Index Fund,2.33%,68479921,8923618506,336051,+0.49%,JPM
Fidelity 500 Index Fund,1.09%,32155432,4190174344,58456,+0.18%,JPM
SPDR S&P 500 ETF Trust,1.08%,31847648,4150067011,90896,+0.29%,JPM
Government Pension Fund - Global ...,0.96%,28343583,3693452301,3178772,+12.63%,JPM
Vanguard Value Index Fund,0.90%,26330966,3431188179,272606,+1.05%,JPM
iShares Core S&P 500 ETF,0.88%,26033479,3392422648,3504,+0.01%,JPM
Vanguard Institutional Index Fund,0.71%,20770143,2706557334,-232785,-1.11%,JPM
SPDR Series - Financial Select Se...,0.67%,19591012,2552904774,90440,+0.46%,JPM
MFS Value Fund,0.56%,16586994,2161451188,0,0.00%,JPM
Vanguard Total Stock Market Index...,2.63%,59185181,1036332519,434281,+0.74%,KMI
SPDR Series - Energy Select Secto...,2.57%,57679010,1009959465,794880,+1.40%,KMI
Vanguard 500 Index Fund,2.06%,46185390,808706179,231892,+0.50%,KMI
Fidelity 500 Index Fund,0.97%,21684081,379688258,39423,+0.18%,KMI
SPDR S&P 500 ETF Trust,0.95%,21415869,374991866,61308,+0.29%,KMI
iShares Core S&P 500 ETF,0.78%,17557794,307436973,2362,+0.01%,KMI
Vanguard Value Index Fund,0.76%,17093850,299313314,115959,+0.68%,KMI
T Rowe Price Value Fund,0.69%,15434880,270264749,-85684,-0.55%,KMI
Vanguard Institutional Index Fund,0.63%,14042452,245883335,-151675,-1.07%,KMI
Government Pension Fund - Global ...,0.61%,13710691,240074199,-1163684,-7.82%,KMI
Vanguard Total Stock Market Index...,3.09%,5746193,1142860326,28843,+0.50%,IQV
Vanguard Mid Cap Index Fund,2.34%,4337993,862783428,3963,+0.09%,IQV
Vanguard 500 Index Fund,2.33%,4335454,862278446,20060,+0.46%,IQV
Canada Pension Plan,1.28%,2370000,471369300,1289,+0.05%,IQV
Fidelity 500 Index Fund,1.10%,2036185,404976835,3700,+0.18%,IQV
SPDR S&P 500 ETF Trust,1.08%,2013694,400503600,5772,+0.29%,IQV
Government Pension Fund - Global ...,1.05%,1947898,387417433,186408,+10.58%,IQV
iShares Core S&P 500 ETF,0.89%,1648170,327804531,222,+0.01%,IQV
Vanguard Growth Index Fund,0.85%,1581651,314574567,-3122,-0.20%,IQV
Vanguard Health Care Fund,0.84%,1559767,310222059,0,0.00%,IQV
Vanguard Real Estate Index Fund,4.40%,12806907,677613449,-111864,-0.87%,IRM
American Funds Income Fund of Ame...,4.39%,12761822,675228002,0,0.00%,IRM
American Balanced Fund,4.09%,11890977,629151593,0,0.00%,IRM
Vanguard Total Stock Market Index...,3.10%,9004823,476445185,53909,+0.60%,IRM
Vanguard Mid Cap Index Fund,2.34%,6794579,359501175,2969,+0.04%,IRM
Vanguard 500 Index Fund,2.33%,6789191,359216096,30600,+0.45%,IRM
Pictet - Security,1.13%,3295000,174338450,1920000,+139.64%,IRM
Fidelity 500 Index Fund,1.10%,3186969,168622530,5791,+0.18%,IRM
SPDR S&P 500 ETF Trust,1.09%,3156484,167009568,8996,+0.29%,IRM
Vanguard Value Index Fund,0.89%,2600437,137589122,22979,+0.89%,IRM
Dodge & Cox Stock Fund,4.63%,31788917,1914328582,0,0.00%,JCI
Vanguard Total Stock Market Index...,3.10%,21283301,1281680386,153175,+0.72%,JCI
Vanguard 500 Index Fund,2.33%,16042051,966052311,40940,+0.26%,JCI
Vanguard Wellington Fund,2.14%,14679003,883969561,-3039850,-17.16%,JCI
Dodge & Cox International Stock F...,2.08%,14299501,861115950,0,0.00%,JCI
MFS Value Fund,1.82%,12520546,753987280,0,0.00%,JCI
Vanguard Equity Income Fund,1.19%,8186962,493018852,-2178622,-21.02%,JCI
Fidelity 500 Index Fund,1.10%,7549913,454655761,13724,+0.18%,JCI
SPDR S&P 500 ETF Trust,1.08%,7439370,447998861,21320,+0.29%,JCI
Franklin Rising Dividends Fund,0.96%,6572077,395770477,-24100,-0.37%,JCI
Vanguard Total Stock Market Index...,1.86%,26107606,921076340,-2231870,-7.88%,KDP
Washington Mutual Investors Fund,1.75%,24606147,868104866,2568500,+11.66%,KDP
American Mutual Fund,1.48%,20834365,735036397,-7051842,-25.29%,KDP
Vanguard 500 Index Fund,1.41%,19838628,699906796,94592,+0.48%,KDP
Invesco QQQ Trust,1.33%,18687018,659277995,60270,+0.32%,KDP
American Funds Fundamental Invest...,1.23%,17265500,609126840,1287500,+8.06%,KDP
American Funds Investment Company...,1.19%,16767380,591553166,-970904,-5.47%,KDP
American Funds Capital World Grow...,0.98%,13832142,487997970,-4876837,-26.07%,KDP
Vanguard Equity Income Fund,0.86%,12094687,426700557,3549384,+41.54%,KDP
American Balanced Fund,0.82%,11499535,405703595,0,0.00%,KDP
Vanguard Total Stock Market Index...,3.10%,3925664,461304777,38045,+0.98%,J
American Funds Growth Fund of Ame...,2.92%,3695620,434272306,0,0.00%,J
Vanguard Mid Cap Index Fund,2.34%,2959717,347796345,8173,+0.28%,J
Vanguard 500 Index Fund,2.34%,2958327,347633006,-8400,-0.28%,J
Allspring Special Mid Cap Value F...,2.32%,2937100,345138621,121400,+4.31%,J
Findlay Park Funds Plc - American...,1.92%,2427765,285286665,577419,+31.21%,J
American Funds Insurance Series -...,1.71%,2169000,254879190,-385200,-15.08%,J
Vanguard Capital Opportunity Fund,1.59%,2020029,237373608,0,0.00%,J
Fidelity 500 Index Fund,1.10%,1398888,164383329,2542,+0.18%,J
SPDR S&P 500 ETF Trust,1.10%,1393583,163759938,3952,+0.28%,J
Vanguard Total Stock Market Index...,3.10%,5194222,621073125,-113760,-2.14%,MTB
Vanguard 500 Index Fund,2.36%,3952275,472573522,-58180,-1.45%,MTB
Vanguard Mid Cap Index Fund,2.34%,3919236,468623049,-108899,-2.70%,MTB
Vanguard Equity Income Fund,1.95%,3267444,390688279,340013,+11.61%,MTB
Schwab US Dividend Equity ETF,1.49%,2505490,299581439,1372,+0.05%,MTB
Vanguard Wellesley Income Fund,1.23%,2063996,246792002,431800,+26.46%,MTB
Fidelity 500 Index Fund,1.13%,1892280,226259920,3439,+0.18%,MTB
SPDR S&P 500 ETF Trust,1.10%,1838069,219777910,5252,+0.29%,MTB
JPMorgan Mid Cap Value Fund,1.03%,1722724,205986109,0,0.00%,MTB
Government Pension Fund - Global ...,0.92%,1550469,185389578,63807,+4.29%,MTB
Vanguard Total Stock Market Index...,3.10%,1163853,455404040,63131,+5.74%,MKTX
Vanguard 500 Index Fund,2.34%,879068,343970518,4000,+0.46%,MKTX
Vanguard Mid Cap Index Fund,2.34%,878428,343720092,44822,+5.38%,MKTX
