Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Norges Bank Investment Management,1.06%,18769556,2991304140,798592,+4.44%,ABBV
"The Vanguard Group, Inc.",8.91%,45817492,4168933597,578762,+1.28%,AEP
BlackRock Fund Advisors,5.97%,30689517,2792439152,1003797,+3.38%,AEP
"SSgA Funds Management, Inc.",5.45%,28052981,2552540741,-673165,-2.34%,AEP
Wellington Management Co. LLP,4.47%,22994813,2092298035,3835704,+20.02%,AEP
Columbia Management Investment Ad...,2.25%,11557855,1051649226,1660141,+16.77%,AEP
Geode Capital Management LLC,1.99%,10209355,928949211,73877,+0.73%,AEP
Massachusetts Financial Services ...,1.72%,8855303,805744020,80795,+0.92%,AEP
Morgan Stanley Smith Barney LLC (...,1.65%,8503315,773716632,1941820,+29.59%,AEP
GQG Partners LLC,1.31%,6748835,614076497,6718072,"+21,838.16%",AEP
"Franklin Advisers, Inc.",1.09%,5604780,509978932,311242,+5.88%,AEP
"The Vanguard Group, Inc.",12.60%,31650698,1690147273,384306,+1.23%,LNT
BlackRock Fund Advisors,7.19%,18064083,964622032,826829,+4.80%,LNT
"SSgA Funds Management, Inc.",5.57%,13992605,747205107,-333908,-2.33%,LNT
"Victory Capital Management, Inc. ...",2.76%,6926706,369886100,717543,+11.56%,LNT
Geode Capital Management LLC,2.19%,5503933,293910022,111591,+2.07%,LNT
Pictet Asset Management SA,1.70%,4271920,228120528,-30318,-0.70%,LNT
"Franklin Advisers, Inc.",1.60%,4009918,214129621,25996,+0.65%,LNT
Invesco Capital Management LLC,1.54%,3868141,206558729,247656,+6.84%,LNT
Janus Henderson Investors US LLC,1.44%,3614408,193009387,1108,+0.03%,LNT
Cohen & Steers Capital Management...,1.23%,3080967,164523638,-121854,-3.80%,LNT
"The Vanguard Group, Inc.",6.58%,674618913,69681387524,9848013,+1.48%,AMZN
BlackRock Fund Advisors,3.73%,382429572,39501150492,10532948,+2.83%,AMZN
"SSgA Funds Management, Inc.",3.28%,336270158,34733344620,6421155,+1.95%,AMZN
Fidelity Management & Research Co...,2.68%,274635067,28367056070,-4843533,-1.73%,AMZN
"T. Rowe Price Associates, Inc. (I...",2.13%,218514089,22570320253,-64087412,-22.68%,AMZN
Geode Capital Management LLC,1.58%,161534790,16684928459,3875615,+2.46%,AMZN
Norges Bank Investment Management,0.96%,98376088,10161266130,14079008,+16.70%,AMZN
